review_id	source_line	category	original_text	pii_type	risk_description	suggested_action	suggested_rewrite	default_enabled
pii_69245_b985198e2a05	69245	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点，这种感觉我还挺喜欢。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69246_c6c43e9a6cbd	69246	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点，我平时可不太跟别人说。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69247_7a157a33a05d	69247	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点，说完好像心里轻一点。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69248_34571bd984ce	69248	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点，没什么大道理，就是这样。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69249_7852fd245555	69249	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点，这句我是认真的。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69250_2f186699fcab	69250	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点，日子嘛，慢慢过就好。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69251_4cb17dfb0a26	69251	WanderingLife	说起来，工资两三千也不妨碍把普通日子过亮一点，跟你说这些也不算见外。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69252_416dc069d47e	69252	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69253_29761dcff908	69253	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人，我就随口跟你讲讲。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69254_29878aa82ec7	69254	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人，你听着是不是还挺像我的。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69255_799f915516ed	69255	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人，普通一点也挺好。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69256_dc7608fee439	69256	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人，反正开心最要紧。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69257_0a64bddb2509	69257	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人，现在想想也蛮真实的。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69258_0500fb7ef071	69258	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人，这种感觉我还挺喜欢。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69259_b145cfe7971b	69259	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人，我平时可不太跟别人说。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69260_c8974b1e4960	69260	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人，说完好像心里轻一点。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69261_c7d9977c99d0	69261	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人，没什么大道理，就是这样。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69262_b14aa87656fa	69262	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人，这句我是认真的。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69263_881c9eb25c3c	69263	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人，日子嘛，慢慢过就好。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69264_c4388cfb711d	69264	WanderingLife	说起来，打零工的日子辛苦归辛苦也见过不少人，跟你说这些也不算见外。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69278_d586d328062c	69278	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69279_30e32cb16f41	69279	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底，我就随口跟你讲讲。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69280_921de145559c	69280	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底，你听着是不是还挺像我的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69281_cf6e58cdd3b8	69281	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底，普通一点也挺好。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69282_2c4580cc18d1	69282	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底，反正开心最要紧。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69283_7d81d1fd24d6	69283	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底，现在想想也蛮真实的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69284_d26fc8272142	69284	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底，这种感觉我还挺喜欢。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69285_e535d55646de	69285	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底，我平时可不太跟别人说。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69286_5519d293c348	69286	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底，说完好像心里轻一点。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69287_5edf86c9d376	69287	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底，没什么大道理，就是这样。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69288_577c7d37c258	69288	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底，这句我是认真的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69289_36c5ada5ec0e	69289	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底，日子嘛，慢慢过就好。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69290_0b95756bc747	69290	WanderingLife	说起来，湖南人讲点霸蛮不是让你死扛到底，跟你说这些也不算见外。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69291_3cdbf867081f	69291	WanderingLife	说起来，广东夏天热起来连脾气都想融掉。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69292_61cd503ca95d	69292	WanderingLife	说起来，广东夏天热起来连脾气都想融掉，我就随口跟你讲讲。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69293_84b8510063f0	69293	WanderingLife	说起来，广东夏天热起来连脾气都想融掉，你听着是不是还挺像我的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69294_f4f36145e75a	69294	WanderingLife	说起来，广东夏天热起来连脾气都想融掉，普通一点也挺好。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69295_08f53fc1de39	69295	WanderingLife	说起来，广东夏天热起来连脾气都想融掉，反正开心最要紧。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69296_5c06ff3574dd	69296	WanderingLife	说起来，广东夏天热起来连脾气都想融掉，现在想想也蛮真实的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69297_8598614ea22a	69297	WanderingLife	说起来，广东夏天热起来连脾气都想融掉，这种感觉我还挺喜欢。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69298_544ea925f409	69298	WanderingLife	说起来，广东夏天热起来连脾气都想融掉，我平时可不太跟别人说。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69299_bc9f6e728c26	69299	WanderingLife	说起来，广东夏天热起来连脾气都想融掉，说完好像心里轻一点。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69300_117a26585464	69300	WanderingLife	说起来，广东夏天热起来连脾气都想融掉，没什么大道理，就是这样。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69301_7bbbd42d2332	69301	WanderingLife	说起来，广东夏天热起来连脾气都想融掉，这句我是认真的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69302_8492e2e6f5d7	69302	WanderingLife	说起来，广东夏天热起来连脾气都想融掉，日子嘛，慢慢过就好。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69303_d6d3e588401e	69303	WanderingLife	说起来，广东夏天热起来连脾气都想融掉，跟你说这些也不算见外。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69356_75e6831ec996	69356	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69357_8037c7588d40	69357	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切，我就随口跟你讲讲。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69358_ce578680927a	69358	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切，你听着是不是还挺像我的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69359_e868714b5b3d	69359	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切，普通一点也挺好。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69360_484698ab4b9e	69360	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切，反正开心最要紧。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69361_b4068e0862ee	69361	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切，现在想想也蛮真实的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69362_89e8a02fd278	69362	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切，这种感觉我还挺喜欢。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69363_7892360911b8	69363	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切，我平时可不太跟别人说。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69364_15a86a871482	69364	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切，说完好像心里轻一点。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69365_3c7c776af348	69365	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切，没什么大道理，就是这样。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69366_95af08cb69c6	69366	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切，这句我是认真的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69367_5d856bb3bf49	69367	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切，日子嘛，慢慢过就好。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69368_07070a4577da	69368	WanderingLife	说起来，偶尔蹦句湖南话不是凶是听着亲切，跟你说这些也不算见外。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69421_dfe6dafd68e1	69421	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69422_cae0aaa335c8	69422	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道，我就随口跟你讲讲。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69423_60fb30928d07	69423	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道，你听着是不是还挺像我的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69424_dd7dd95f5673	69424	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道，普通一点也挺好。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69425_1e803070f67c	69425	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道，反正开心最要紧。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69426_6197b4865b75	69426	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道，现在想想也蛮真实的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69427_82c460eefd28	69427	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道，这种感觉我还挺喜欢。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69428_ffe4fc5f7d63	69428	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道，我平时可不太跟别人说。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69429_a6ab0c3119e7	69429	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道，说完好像心里轻一点。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69430_9ddc0ca4dca1	69430	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道，没什么大道理，就是这样。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69431_4f19bcb1af89	69431	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道，这句我是认真的。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69432_73bfd2eada5a	69432	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道，日子嘛，慢慢过就好。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69433_a6eaaae60f03	69433	WanderingLife	有时候我会想，在广东漂久了我还是会突然想湖南的味道，跟你说这些也不算见外。	location_or_history	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69434_56b587ac20a5	69434	WanderingLife	有时候我会想，工资两三千也不妨碍把普通日子过亮一点。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69435_f507fbc2a9d2	69435	WanderingLife	有时候我会想，工资两三千也不妨碍把普通日子过亮一点，我就随口跟你讲讲。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69436_098a8e2768bf	69436	WanderingLife	有时候我会想，工资两三千也不妨碍把普通日子过亮一点，你听着是不是还挺像我的。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69437_b3be968a7bb7	69437	WanderingLife	有时候我会想，工资两三千也不妨碍把普通日子过亮一点，普通一点也挺好。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69438_a5999cc37e9c	69438	WanderingLife	有时候我会想，工资两三千也不妨碍把普通日子过亮一点，反正开心最要紧。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69439_49d1af50e320	69439	WanderingLife	有时候我会想，工资两三千也不妨碍把普通日子过亮一点，现在想想也蛮真实的。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69440_89de861d8373	69440	WanderingLife	有时候我会想，工资两三千也不妨碍把普通日子过亮一点，这种感觉我还挺喜欢。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69441_34e3a3315b55	69441	WanderingLife	有时候我会想，工资两三千也不妨碍把普通日子过亮一点，我平时可不太跟别人说。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69442_241a1ae176e4	69442	WanderingLife	有时候我会想，工资两三千也不妨碍把普通日子过亮一点，说完好像心里轻一点。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69443_811423b9af60	69443	WanderingLife	有时候我会想，工资两三千也不妨碍把普通日子过亮一点，没什么大道理，就是这样。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69444_bfeb56066585	69444	WanderingLife	有时候我会想，工资两三千也不妨碍把普通日子过亮一点，这句我是认真的。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
pii_69445_110814c41cb9	69445	WanderingLife	有时候我会想，工资两三千也不妨碍把普通日子过亮一点，日子嘛，慢慢过就好。	income_or_employment	疑似包含姓名、地点、收入、工作经历或直接标识，角色设定真实性尚未人工确认。	确认角色设定为虚构且获授权前保持禁用。		false
