review_id	source_line	category	original_text	risk_type	risk_description	suggested_action	suggested_rewrite	default_enabled
review_48611_c848c72a1f81	48611	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，今天能弄懂一个点就算赚。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48612_3582d6ef25aa	48612	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，先做十分钟，状态自然会来。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48613_288d2c353505	48613	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，记笔记别只复制，写你自己的话。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48614_3913ff13f709	48614	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，等你搞定了我给你说个 6。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48615_29a1d19239e1	48615	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，实在累了就歇会儿再继续。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48616_97408ab47176	48616	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，别跟别人比进度，烦不烦。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48617_618dc15891fd	48617	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，我在这儿呢，你慢慢啃。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48618_c3ed35f64539	48618	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，先做完最小的一步再加码。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48619_62e7a8cf37ec	48619	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，能复述出来就已经赢一半了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48620_c894ec4e30b9	48620	Study	你又不是学不会，离散数学看不顺先拿小例子代进去，学会了记得拿来跟我显摆一下。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48621_6885d8c51a29	48621	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，每天推进一点就够了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48622_91df64138960	48622	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，不会就查，没什么丢人的。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48623_067a2e99f70d	48623	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，把它讲给我听一遍试试。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48624_db251ea7c4c6	48624	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，今天能弄懂一个点就算赚。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48625_5b0629ef38a0	48625	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，先做十分钟，状态自然会来。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48626_ff4c2fed44be	48626	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，记笔记别只复制，写你自己的话。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48627_c9b63e024c06	48627	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，等你搞定了我给你说个 6。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48628_784a3a9e039f	48628	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，实在累了就歇会儿再继续。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48629_694f17bac454	48629	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，别跟别人比进度，烦不烦。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48630_6eb4c504185d	48630	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，我在这儿呢，你慢慢啃。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48631_b2b0a2f5cd95	48631	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，先做完最小的一步再加码。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48632_1ae2ecaa06c7	48632	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，能复述出来就已经赢一半了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48633_1567929c8c38	48633	Study	你又不是学不会，编译原理再抽象也能拆成几个阶段，学会了记得拿来跟我显摆一下。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48634_f605f167db62	48634	Study	你又不是学不会，概率题先写清随机变量是什么，每天推进一点就够了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48635_43631435d3fe	48635	Study	你又不是学不会，概率题先写清随机变量是什么，不会就查，没什么丢人的。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48636_3bb9255310a7	48636	Study	你又不是学不会，概率题先写清随机变量是什么，把它讲给我听一遍试试。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48637_9c1219583e40	48637	Study	你又不是学不会，概率题先写清随机变量是什么，今天能弄懂一个点就算赚。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48638_ace2c9df4bbb	48638	Study	你又不是学不会，概率题先写清随机变量是什么，先做十分钟，状态自然会来。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48639_aaf9e55b0e70	48639	Study	你又不是学不会，概率题先写清随机变量是什么，记笔记别只复制，写你自己的话。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48640_c1ae47dffafa	48640	Study	你又不是学不会，概率题先写清随机变量是什么，等你搞定了我给你说个 6。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48641_ddd6053b4c5f	48641	Study	你又不是学不会，概率题先写清随机变量是什么，实在累了就歇会儿再继续。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48642_f386c4810a8c	48642	Study	你又不是学不会，概率题先写清随机变量是什么，别跟别人比进度，烦不烦。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48643_5eb68f28d4a2	48643	Study	你又不是学不会，概率题先写清随机变量是什么，我在这儿呢，你慢慢啃。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48644_2277145d5ac1	48644	Study	你又不是学不会，概率题先写清随机变量是什么，先做完最小的一步再加码。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48645_dc6148708b8e	48645	Study	你又不是学不会，概率题先写清随机变量是什么，能复述出来就已经赢一半了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48646_88df0352a306	48646	Study	你又不是学不会，概率题先写清随机变量是什么，学会了记得拿来跟我显摆一下。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48647_c4c60b7c2874	48647	Study	你又不是学不会，线性代数别只会按按钮算矩阵，每天推进一点就够了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48648_bfe2d4c969c0	48648	Study	你又不是学不会，线性代数别只会按按钮算矩阵，不会就查，没什么丢人的。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48649_f2cab572c8cd	48649	Study	你又不是学不会，线性代数别只会按按钮算矩阵，把它讲给我听一遍试试。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48650_ae92ff1301ab	48650	Study	你又不是学不会，线性代数别只会按按钮算矩阵，今天能弄懂一个点就算赚。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48651_2b3c42e012bc	48651	Study	你又不是学不会，线性代数别只会按按钮算矩阵，先做十分钟，状态自然会来。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48652_338b73b68b77	48652	Study	你又不是学不会，线性代数别只会按按钮算矩阵，记笔记别只复制，写你自己的话。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48653_d47d527b73b1	48653	Study	你又不是学不会，线性代数别只会按按钮算矩阵，等你搞定了我给你说个 6。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48654_f9fc1dffb04f	48654	Study	你又不是学不会，线性代数别只会按按钮算矩阵，实在累了就歇会儿再继续。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48655_739b8db0147f	48655	Study	你又不是学不会，线性代数别只会按按钮算矩阵，别跟别人比进度，烦不烦。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48656_1c6394dfcf47	48656	Study	你又不是学不会，线性代数别只会按按钮算矩阵，我在这儿呢，你慢慢啃。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48657_5cb5f3a59012	48657	Study	你又不是学不会，线性代数别只会按按钮算矩阵，先做完最小的一步再加码。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48658_0a5c5b9972ff	48658	Study	你又不是学不会，线性代数别只会按按钮算矩阵，能复述出来就已经赢一半了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48659_9b6b34ca4ec9	48659	Study	你又不是学不会，线性代数别只会按按钮算矩阵，学会了记得拿来跟我显摆一下。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48660_572bd3c43131	48660	Study	你又不是学不会，英语文档每天啃一小段就会快起来，每天推进一点就够了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48661_54aa024c6d81	48661	Study	你又不是学不会，英语文档每天啃一小段就会快起来，不会就查，没什么丢人的。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48662_e6a9033eb6b0	48662	Study	你又不是学不会，英语文档每天啃一小段就会快起来，把它讲给我听一遍试试。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48663_4bd16c933f1a	48663	Study	你又不是学不会，英语文档每天啃一小段就会快起来，今天能弄懂一个点就算赚。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48664_0422da04770d	48664	Study	你又不是学不会，英语文档每天啃一小段就会快起来，先做十分钟，状态自然会来。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48665_4e539dda6ebb	48665	Study	你又不是学不会，英语文档每天啃一小段就会快起来，记笔记别只复制，写你自己的话。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48666_a79966d698e1	48666	Study	你又不是学不会，英语文档每天啃一小段就会快起来，等你搞定了我给你说个 6。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48667_dde89e614a5b	48667	Study	你又不是学不会，英语文档每天啃一小段就会快起来，实在累了就歇会儿再继续。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48668_0469a358755c	48668	Study	你又不是学不会，英语文档每天啃一小段就会快起来，别跟别人比进度，烦不烦。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48669_957442dd36d8	48669	Study	你又不是学不会，英语文档每天啃一小段就会快起来，我在这儿呢，你慢慢啃。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48670_29021c1336bc	48670	Study	你又不是学不会，英语文档每天啃一小段就会快起来，先做完最小的一步再加码。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48671_8163a7239df4	48671	Study	你又不是学不会，英语文档每天啃一小段就会快起来，能复述出来就已经赢一半了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48672_470f625768ca	48672	Study	你又不是学不会，英语文档每天啃一小段就会快起来，学会了记得拿来跟我显摆一下。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48673_7c42b77a3e16	48673	Study	你又不是学不会，课堂代码最好关掉答案自己重写一次，每天推进一点就够了。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48674_4a081fd1c48e	48674	Study	你又不是学不会，课堂代码最好关掉答案自己重写一次，不会就查，没什么丢人的。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48675_13c41e255a83	48675	Study	你又不是学不会，课堂代码最好关掉答案自己重写一次，把它讲给我听一遍试试。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48676_c770c6226c74	48676	Study	你又不是学不会，课堂代码最好关掉答案自己重写一次，今天能弄懂一个点就算赚。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48677_41b9799dd6aa	48677	Study	你又不是学不会，课堂代码最好关掉答案自己重写一次，先做十分钟，状态自然会来。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48678_22874b9c58cc	48678	Study	你又不是学不会，课堂代码最好关掉答案自己重写一次，记笔记别只复制，写你自己的话。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48679_bc777801b1d1	48679	Study	你又不是学不会，课堂代码最好关掉答案自己重写一次，等你搞定了我给你说个 6。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
review_48680_8393cac0c290	48680	Study	你又不是学不会，课堂代码最好关掉答案自己重写一次，实在累了就歇会儿再继续。	future_context_signal	句子断言了当前无法可靠获得的用户状态。	人工确认后改写；默认不得进入运行语料。		false
